Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
Wake Forest,104.392,104.425,0.4991,44.8,53.3,19.4,16.1,33.9,27.3,67.4186,2019,-7.4354
Florida Atlantic,99.4671,99.2911,0.505093,47.9,48.2,20.7,18.1,29.0,25.4,67.3396,2019,-8.84007
Northeastern,110.186,103.529,0.671867,56.5,52.1,16.6,16.7,22.7,24.6,66.2039,2019,-2.58128
Robert Morris,96.4043,105.433,0.263179,48.8,52.2,21.0,22.2,30.1,27.8,66.2252,2019,-11.2956
Seattle,101.068,101.589,0.48521,49.1,46.7,17.5,15.8,29.3,26.5,67.1303,2019,-8.69306
Villanova,115.509,100.107,0.83831,53.2,50.4,16.9,18.0,30.3,27.7,63.5627,2019,3.7294
Howard,102.692,114.877,0.215938,48.5,51.8,16.8,19.8,29.2,33.4,71.0368,2019,-12.6569
Utah St.,112.374,97.8199,0.83133,53.9,46.5,18.2,17.3,32.0,22.3,67.9658,2019,2.24595
Marist,101.618,108.007,0.331541,52.3,53.0,18.9,19.3,24.3,26.6,64.5432,2019,-14.8986
Portland St.,102.289,112.098,0.258651,46.9,53.7,19.4,18.8,38.7,28.5,68.7365,2019,-11.7712
Denver,99.425,112.436,0.19556,50.2,56.5,19.7,15.7,26.4,22.9,67.2318,2019,-15.8449
Cal St. Northridge,104.399,112.326,0.301199,51.5,51.6,16.7,17.1,28.4,32.5,70.6677,2019,-14.4975
Maryland,112.397,94.5112,0.880077,51.4,45.9,19.4,14.1,34.1,24.8,66.2161,2019,4.17559
Rice,102.321,110.055,0.301952,50.1,51.6,18.9,14.9,26.6,24.4,70.2895,2019,-12.778
Abilene Christian,102.009,101.585,0.511969,51.9,49.8,17.3,23.3,27.0,28.5,65.4922,2019,-2.47145
Rider,101.346,105.443,0.387996,50.6,53.7,18.0,22.8,30.7,27.4,73.7365,2019,-9.833
Boston College,107.079,102.675,0.618438,48.5,48.4,17.5,16.6,28.6,31.5,67.3187,2019,-5.32586
Arizona,104.931,98.4793,0.674751,49.0,50.9,16.7,20.3,28.4,25.9,66.6017,2019,-4.05459
Penn St.,110.691,94.0256,0.867216,47.5,49.9,18.1,19.6,31.9,26.3,67.418,2019,-2.75264
Hawaii,103.437,106.931,0.405645,52.3,50.8,17.6,17.4,26.9,24.7,65.8882,2019,-8.47114
