Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,WAB
Morgan St.,94.6452,112.908,0.116185,40.2,53.3,16.2,21.6,34.8,33.8,64.4191,-18.2094
New Hampshire,100.515,102.875,0.433682,49.7,46.0,18.7,17.1,27.2,23.7,63.6075,-7.83842
Iowa St.,119.117,98.1917,0.902173,54.3,47.6,15.8,18.5,28.3,29.6,69.2037,6.79164
Alcorn St.,94.0086,119.704,0.0584803,43.1,52.8,17.2,18.6,30.2,35.9,66.3045,-20.3913
Purdue,112.051,96.2591,0.851572,50.3,45.4,19.9,17.6,36.5,30.9,64.4229,0.901629
Drake,105.678,112.905,0.318498,52.1,54.9,22.3,16.9,23.3,32.0,58.8374,-13.0506
Marquette,105.661,97.982,0.704267,49.8,49.2,19.3,21.0,29.0,36.4,63.6303,-4.87262
Holy Cross,101.558,107.458,0.343133,47.2,53.2,17.0,21.6,29.6,29.7,63.3413,-10.9942
Houston,102.799,104.242,0.459993,46.5,49.1,20.5,19.9,33.6,33.7,63.9571,-11.3739
Hampton,97.0827,103.985,0.312207,45.6,46.4,20.2,20.1,31.8,30.9,68.99,-12.3452
Western Michigan,107.741,107.246,0.513214,51.3,51.9,18.1,18.9,29.8,30.4,64.8295,-5.72479
New Mexico St.,106.153,100.065,0.663562,50.6,46.4,21.8,20.6,39.3,31.0,63.4145,-4.25765
Ball St.,100.802,108.44,0.301545,48.9,52.4,21.6,18.2,29.9,28.6,63.4103,-15.4965
Milwaukee,102.76,105.714,0.419254,49.0,51.2,20.0,16.5,26.9,29.5,64.3847,-8.76621
Portland,109.625,104.971,0.622211,50.0,49.7,18.3,17.2,35.0,30.7,63.9048,-6.06515
Albany,107.144,104.137,0.581122,49.9,49.6,18.8,20.1,32.6,26.0,60.6658,-2.99263
San Francisco,106.094,101.876,0.614578,50.7,49.2,17.9,18.9,30.5,30.8,65.4513,-9.01065
Bucknell,105.103,108.952,0.398036,49.7,49.9,17.1,14.5,29.6,25.9,64.2376,-8.12885
Connecticut,107.115,99.366,0.703404,50.0,45.2,18.6,17.9,30.2,30.5,61.9214,-3.20093
Florida Gulf Coast,101.481,103.822,0.434824,48.2,45.3,17.7,17.3,34.4,32.1,64.2016,-4.87593
San Jose St.,88.1332,109.068,0.079372,41.0,54.0,21.6,17.8,24.1,31.8,63.9441,-21.1538
Utah Valley,93.1263,108.095,0.152635,44.5,49.9,20.3,17.8,28.5,30.4,61.8135,-14.13
Missouri,100.904,103.733,0.421176,45.8,49.3,20.2,17.2,29.4,33.3,62.026,-9.95803
Cincinnati,108.345,94.2106,0.833072,49.5,44.1,21.0,19.9,37.3,32.3,59.6883,-1.16299
South Dakota St.,108.722,102.124,0.672601,51.9,47.2,16.9,18.1,28.8,28.2,65.7697,-4.42132
Boston University,106.755,111.933,0.367112,52.7,53.0,19.4,16.3,28.2,28.4,64.0507,-11.6093
Air Force,106.914,111.425,0.383373,53.6,53.0,19.2,20.2,29.6,32.6,60.9974,-9.98458
Bradley,93.716,99.9522,0.322814,42.3,50.3,20.4,21.9,32.0,29.0,61.8319,-15.0407
Troy,100.214,109.957,0.255979,48.9,50.8,21.2,19.5,31.3,33.7,64.4037,-14.4148
Gonzaga,121.999,95.1975,0.945459,57.9,44.2,16.1,17.1,33.9,28.0,64.5667,7.87254
South Florida,99.0938,107.497,0.281691,47.3,49.1,20.9,18.8,31.3,34.8,63.8058,-14.3482
