Team,AdjOE,AdjDE,BARTHAG,EFG%,EFGD%,TOR,TORD,ORB,DRB,ADJ T,Season,WAB
Richmond,110.944,103.566,0.688123,53.9,49.9,16.2,20.0,20.7,30.7,68.7635,2017,-3.65561
Providence,108.911,95.4453,0.820209,51.4,49.6,18.4,20.3,26.4,28.6,66.2759,2017,0.58169
Louisville,118.219,92.3587,0.944739,51.4,45.7,16.0,19.6,36.7,28.5,68.1008,2017,6.84948
Davidson,109.67,99.6319,0.750997,51.6,49.7,17.4,17.1,25.1,26.9,68.314,2017,-5.15605
St. Bonaventure,108.031,101.354,0.6756,49.7,49.9,17.6,20.9,33.0,31.0,68.6232,2017,-4.46738
North Florida,101.59,109.47,0.297518,51.3,52.7,22.2,16.7,33.3,31.8,69.6983,2017,-11.9743
Missouri St.,109.51,105.31,0.61059,51.0,50.4,18.4,16.2,32.9,24.6,66.0335,2017,-8.44121
Vanderbilt,113.101,94.7487,0.88454,52.1,48.1,18.2,16.1,24.8,27.0,65.6725,2017,0.0781578
Washington St.,104.57,105.035,0.487252,52.0,52.8,18.1,14.7,20.0,28.5,67.6534,2017,-7.83386
Akron,112.077,106.16,0.651087,55.1,51.0,17.2,16.7,29.4,27.9,65.9973,2017,-1.70998
Bowling Green,100.733,106.532,0.344425,48.0,53.1,17.3,20.0,28.5,28.2,70.1224,2017,-12.6952
Memphis,106.757,101.522,0.640674,48.9,48.8,16.3,19.3,31.6,30.6,68.6713,2017,-3.33035
Central Arkansas,103.721,118.217,0.18177,49.8,55.1,19.1,15.7,28.8,31.7,71.0872,2017,-17.2991
Murray St.,106.27,110.799,0.382273,50.8,52.1,16.9,17.9,31.8,29.6,68.6737,2017,-11.9078
American,96.5119,108.677,0.203398,50.9,52.5,19.6,20.0,20.9,28.1,64.7557,2017,-15.3369
Notre Dame,120.04,97.4161,0.916951,53.6,49.1,14.0,18.7,27.3,30.8,66.9244,2017,5.92404
Creighton,115.179,96.2116,0.88788,57.6,49.9,17.1,19.3,24.2,29.6,71.3427,2017,4.24986
Duke,122.793,96.5422,0.940809,54.8,47.4,16.3,17.3,31.7,29.8,68.2842,2017,8.52566
